perm_id,name,ticker,jc_industry_perm_id,industry_name,ranked_in_2021,ranked_in_2020,ranked_in_2019,ranked_in_2018
8892b16784cba37334faf4501,PBF Energy Inc,PBF,5186f581089f313773b32576818b79fe,Oil & Gas,0,1,1,1
621cce8f9fef7aa3063b1bcb6,Pitney Bowes,PBI,955e5ef956e469bce74b0d640f18c9fb,Technology Hardware,0,0,0,1
15c090f92339f4d648f1ad7b2,PACCAR Inc,PCAR,257a8d97f966fedd03cf5d7f558f68e2,Commercial Vehicles & Machinery,1,1,1,1
6e5b1fc2e9811d2cb80e1833c,PG&E Corporation,PCG,ceba282b7418b7f199798b645e1cba56,Utilities,1,1,1,1
8a7ccf4afb42bb7055b8768da,Paylocity Holding Corporation,PCTY,c55bccd7265df862ebc4dc9c8cb418fb,Commercial Support Services,1,1,0,0
68570440de69d24b2727fc4f4,"PagerDuty, Inc.",PD,c8205c7636e728d448c2774e6a4a944b,Internet,1,1,0,0
2d29be25eaf27dd97cb371d0d,Patterson,PDCO,e7db1c88e2f0c27ca6be63dd50901ec3,Health Care Equipment & Services,0,0,0,1
20d3836e1adac5c1cbaf60db0,Parsley Energy Inc,PE,5186f581089f313773b32576818b79fe,Oil & Gas,1,1,1,1
88ae0127e8cb4d10a30604b81,Public Service Enterprise Group Incorporated,PEG,ceba282b7418b7f199798b645e1cba56,Utilities,1,1,1,1
1adef7427e36ebbf0924a4653,Pegasystems Inc,PEGA,719d067b229178f03bcfa1da4ac4dede,Software,1,1,1,0
06b027285281d704284890298,Penumbra Inc,PEN,e7db1c88e2f0c27ca6be63dd50901ec3,Health Care Equipment & Services,1,1,1,0
f1a55cc42a8d2408d7dd9a63b,PepsiCo Inc,PEP,e3f4aafdc8b3562a52a4f6bbaa217e69,"Food, Beverage & Tobacco",1,1,1,1
678a1be8a1876b61be5c9cbe7,Pinnacle Foods Inc,PF,e3f4aafdc8b3562a52a4f6bbaa217e69,"Food, Beverage & Tobacco",0,0,1,1
80701bc2fc4b11ce1bfb199b3,Pfizer Inc,PFE,0da83ad83c167ac387dc536b43cf36fb,Pharmaceuticals & Biotech,1,1,1,1
